tahun;kd_desa;fitur_1;fitur_2;fitur_3;fitur_4;fitur_5;fitur_6;idm
2023;1905032020;30390000;541705615;0;0;144000000;0;0.8363
2023;1905032021;19104000;481013200;29312000;157087000;190800000;0;0.8156
2023;1905042002;32740000;762335556;73914000;0;100800000;0;0.8263
2023;1905042003;4000000;533210708;0;154960500;79200000;0;0.7727
2023;1905042004;8831000;441038250;155139250;10000000;190800000;0;0.7294
2023;1905042005;38373204;855715300;0;41940000;97200000;100000000;0.8659
2023;1905042006;9393000;695603450;43176000;50416500;262800000;0;0.8284
2023;1905042007;29865000;677437200;0;185925000;100800000;0;0.7635
2023;1905042008;13750000;516081600;22950000;159381000;94998000;0;0.7278
2023;1905042009;38251200;739172400;23010000;193332800;97200000;0;0.8448
2023;1905042010;0;439227150;23950000;166137600;201600000;0;0.7684
2023;1905042011;20568000;369281720;17685000;280275000;147600000;0;0.713
2023;1905042012;32638170;539259500;0;201364200;208800000;0;0.7224
2023;1905042013;43855000;584759000;44517000;83850000;104400000;0;0.9235
2023;1905042014;16611204;589306016;0;212355000;118800000;99000000;0.7419
2023;1905052001;11064400;531497750;0;179200000;153200000;0;0.8194
2023;1905052002;40223400;554085000;0;271870000;104400000;0;0.7389
2023;1905052003;12000000;209462000;0;238166400;82800000;0;0.827
2023;1905052004;24351400;531414200;10000000;172845000;86400000;0;0.7262
2023;1905052005;37575500;476280300;157058000;159348000;82800000;17500000;0.8617
2023;1905052006;57164300;453143500;305560600;223332600;144000000;55000000;0.8381
2023;1905052007;51808400;381980000;0;173511600;205200000;0;0.8249
2023;1905052008;41375000;414785000;0;165850000;205200000;0;0.739
2023;1905052009;19411585;689235000;0;26000000;90000000;0;0.7656
2023;1905062001;74845000;415090200;0;160310000;144000000;5000000;0.8794
2023;1905062002;22917500;495675402;0;78975000;187200000;5000000;0.7873
2023;1905062003;56864000;484198816;0;219400000;106593000;0;0.7632
2023;1905062004;9642000;463599000;0;170243000;136800000;0;0.8095
2023;1905062005;52000000;532380600;57853000;280905000;108000000;15042875;0.8786
2023;1905062006;32080000;502185500;0;195653000;241200000;5000000;0.8249
2023;1905062007;29300000;453081000;30075000;217110000;249800000;5000000;0.8151
2023;1905062008;26523000;375465000;10000000;162890000;180000000;0;0.784
2023;1905062009;31561000;447308000;67705000;159228000;176400000;0;0.7741
